DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:00:01:49.931000;1
01JUN2026;01JUN2026:00:04:00.519000;1
01JUN2026;01JUN2026:00:04:32.457000;1
01JUN2026;01JUN2026:00:04:53.026000;1
01JUN2026;01JUN2026:00:05:09.349000;1
01JUN2026;01JUN2026:00:05:22.523000;1
01JUN2026;01JUN2026:00:09:58.528000;1
01JUN2026;01JUN2026:00:15:58.053000;1
01JUN2026;01JUN2026:00:16:06.245000;1
01JUN2026;01JUN2026:00:18:22.139000;1
01JUN2026;01JUN2026:00:23:13.790000;1
01JUN2026;01JUN2026:00:23:23.211000;1
01JUN2026;01JUN2026:00:23:48.969000;1
01JUN2026;01JUN2026:00:30:05.723000;1
01JUN2026;01JUN2026:00:30:55.239000;1
01JUN2026;01JUN2026:00:33:35.805000;1
01JUN2026;01JUN2026:00:34:35.269000;1
01JUN2026;01JUN2026:00:35:46.708000;1
01JUN2026;01JUN2026:00:47:38.431000;1
01JUN2026;01JUN2026:00:48:28.733000;1
01JUN2026;01JUN2026:00:50:31.329000;1
01JUN2026;01JUN2026:00:51:20.173000;1
01JUN2026;01JUN2026:00:51:33.171000;1
01JUN2026;01JUN2026:00:57:13.942000;1
01JUN2026;01JUN2026:00:57:23.299000;1
01JUN2026;01JUN2026:00:57:23.461000;1
01JUN2026;01JUN2026:00:58:54.456000;1
01JUN2026;01JUN2026:00:59:46.602000;1
01JUN2026;01JUN2026:01:03:38.319000;1
01JUN2026;01JUN2026:01:05:54.137000;1
01JUN2026;01JUN2026:01:06:55.565000;1
01JUN2026;01JUN2026:01:09:14.352000;1
01JUN2026;01JUN2026:01:10:01.073000;1
01JUN2026;01JUN2026:01:13:16.884000;1
01JUN2026;01JUN2026:01:13:59.593000;1
01JUN2026;01JUN2026:01:15:37.636000;1
01JUN2026;01JUN2026:01:16:07.482000;1
01JUN2026;01JUN2026:01:25:25.434000;1
01JUN2026;01JUN2026:01:25:43.867000;1
01JUN2026;01JUN2026:01:30:07.898000;1
01JUN2026;01JUN2026:01:30:48.128000;1
01JUN2026;01JUN2026:01:32:38.524000;1
01JUN2026;01JUN2026:01:35:33.600000;1
01JUN2026;01JUN2026:01:38:45.369000;1
01JUN2026;01JUN2026:01:39:31.102000;1
01JUN2026;01JUN2026:01:39:50.965000;1
01JUN2026;01JUN2026:01:40:29.879000;1
01JUN2026;01JUN2026:01:41:01.127000;1
01JUN2026;01JUN2026:01:50:09.618000;1
01JUN2026;01JUN2026:01:50:37.439000;1
01JUN2026;01JUN2026:01:55:30.258000;1
01JUN2026;01JUN2026:01:55:55.551000;1
01JUN2026;01JUN2026:01:55:59.974000;1
01JUN2026;01JUN2026:02:05:21.979000;1
01JUN2026;01JUN2026:02:05:30.719000;1
01JUN2026;01JUN2026:02:09:07.154000;1
01JUN2026;01JUN2026:02:23:15.445000;1
01JUN2026;01JUN2026:02:29:11.733000;1
01JUN2026;01JUN2026:02:29:14.530000;1
01JUN2026;01JUN2026:02:34:48.035000;1
01JUN2026;01JUN2026:02:37:11.239000;1
01JUN2026;01JUN2026:02:45:10.939000;1
01JUN2026;01JUN2026:02:45:51.550000;1
01JUN2026;01JUN2026:02:47:59.093000;1
01JUN2026;01JUN2026:02:48:46.013000;1
01JUN2026;01JUN2026:02:50:10.528000;1
